id,temp,date,time,lat,long,location
1,25.50,4/24/2015,19:45,,,Makawao
8,25.87,4/24/2015,20:0,,,Makawao
15,25.87,4/24/2015,20:15,,,Makawao
22,25.75,4/24/2015,20:30,,,Makawao
29,25.37,4/24/2015,20:45,,,Makawao
36,25.37,4/24/2015,21:0,,,Makawao
43,25.06,4/24/2015,21:15,,,Makawao
50,24.93,4/24/2015,21:30,,,Makawao
57,24.68,4/24/2015,21:45,,,Makawao
64,24.50,4/24/2015,22:0,,,Makawao
71,24.50,4/24/2015,22:15,,,Makawao
78,24.31,4/24/2015,22:30,,,Makawao
85,24.12,4/24/2015,22:45,,,Makawao
92,23.87,4/24/2015,23:0,,,Makawao
99,23.68,4/24/2015,23:15,,,Makawao
106,23.50,4/24/2015,23:30,,,Makawao
113,23.43,4/24/2015,23:45,,,Makawao
120,23.50,4/25/2015,0:0,,,Makawao
127,23.18,4/25/2015,0:15,,,Makawao
134,23.06,4/25/2015,0:30,,,Makawao
141,22.93,4/25/2015,0:45,,,Makawao
148,22.81,4/25/2015,1:0,,,Makawao
155,22.62,4/25/2015,1:15,,,Makawao
162,22.62,4/25/2015,1:30,,,Makawao
169,22.56,4/25/2015,1:45,,,Makawao
176,22.50,4/25/2015,2:0,,,Makawao
183,22.31,4/25/2015,2:15,,,Makawao
190,22.31,4/25/2015,2:30,,,Makawao
197,22.18,4/25/2015,2:45,,,Makawao
204,22.12,4/25/2015,3:0,,,Makawao
211,22.12,4/25/2015,3:15,,,Makawao
218,22.12,4/25/2015,3:30,,,Makawao
225,22.00,4/25/2015,3:45,,,Makawao
232,21.87,4/25/2015,4:0,,,Makawao
239,21.68,4/25/2015,4:15,,,Makawao
246,21.68,4/25/2015,4:30,,,Makawao
253,21.62,4/25/2015,4:45,,,Makawao
260,21.62,4/25/2015,5:0,,,Makawao
267,21.62,4/25/2015,5:15,,,Makawao
274,21.68,4/25/2015,5:30,,,Makawao
281,21.68,4/25/2015,5:45,,,Makawao
288,21.87,4/25/2015,6:0,,,Makawao
295,22.00,4/25/2015,6:15,,,Makawao
302,22.37,4/25/2015,6:30,,,Makawao
309,22.62,4/25/2015,6:45,,,Makawao
316,23.06,4/25/2015,7:0,,,Makawao
323,23.43,4/25/2015,7:15,,,Makawao
330,23.62,4/25/2015,7:30,,,Makawao
337,24.12,4/25/2015,7:45,,,Makawao
344,24.56,4/25/2015,8:0,,,Makawao
351,24.87,4/25/2015,8:15,,,Makawao
358,25.18,4/25/2015,8:30,,,Makawao
365,25.68,4/25/2015,8:45,,,Makawao
372,26.50,4/25/2015,9:0,,,Makawao
379,27.06,4/25/2015,9:15,,,Makawao
386,27.31,4/25/2015,9:30,,,Makawao
393,28.87,4/25/2015,9:45,,,Makawao
400,29.81,4/25/2015,10:0,,,Makawao
407,29.50,4/25/2015,10:15,,,Makawao
414,30.06,4/25/2015,10:30,,,Makawao
421,29.37,4/25/2015,10:45,,,Makawao
428,30.56,4/25/2015,11:0,,,Makawao
435,29.37,4/25/2015,11:15,,,Makawao
442,28.93,4/25/2015,11:30,,,Makawao
449,28.68,4/25/2015,11:45,,,Makawao
456,27.56,4/25/2015,12:0,,,Makawao
463,27.06,4/25/2015,12:15,,,Makawao
470,27.25,4/25/2015,12:30,,,Makawao
477,28.00,4/25/2015,12:45,,,Makawao
484,28.68,4/25/2015,13:0,,,Makawao
491,30.00,4/25/2015,13:15,,,Makawao
498,30.56,4/25/2015,13:30,,,Makawao
505,31.87,4/25/2015,13:45,,,Makawao
512,29.12,4/25/2015,14:0,,,Makawao
519,28.43,4/25/2015,14:15,,,Makawao
526,27.62,4/25/2015,14:30,,,Makawao
533,27.93,4/25/2015,14:45,,,Makawao
540,27.68,4/25/2015,15:0,,,Makawao
547,27.75,4/25/2015,15:15,,,Makawao
554,27.43,4/25/2015,15:30,,,Makawao
561,27.00,4/25/2015,15:45,,,Makawao
568,26.50,4/25/2015,16:0,,,Makawao
575,26.43,4/25/2015,16:15,,,Makawao
582,26.37,4/25/2015,16:30,,,Makawao
589,26.62,4/25/2015,16:45,,,Makawao
596,26.68,4/25/2015,17:0,,,Makawao
603,26.62,4/25/2015,17:15,,,Makawao
610,26.31,4/25/2015,17:30,,,Makawao
617,26.00,4/25/2015,17:45,,,Makawao
624,25.93,4/25/2015,18:0,,,Makawao
631,25.56,4/25/2015,18:15,,,Makawao
638,25.25,4/25/2015,18:30,,,Makawao
645,25.18,4/25/2015,18:45,,,Makawao
652,25.06,4/25/2015,19:0,,,Makawao
659,24.87,4/25/2015,19:15,,,Makawao
666,24.68,4/25/2015,19:30,,,Makawao
673,24.62,4/25/2015,19:45,,,Makawao
680,24.50,4/25/2015,20:0,,,Makawao
687,24.43,4/25/2015,20:15,,,Makawao
694,24.25,4/25/2015,20:30,,,Makawao
701,24.25,4/25/2015,20:45,,,Makawao
708,24.37,4/25/2015,21:0,,,Makawao
715,24.06,4/25/2015,21:15,,,Makawao
722,24.12,4/25/2015,21:30,,,Makawao
729,23.87,4/25/2015,21:45,,,Makawao
799,23.25,4/25/2015,22:0,,,Makawao
806,23.12,4/25/2015,22:15,,,Makawao
813,23.12,4/25/2015,22:30,,,Makawao
820,23.18,4/25/2015,22:45,,,Makawao
827,23.25,4/25/2015,23:0,,,Makawao
834,23.06,4/25/2015,23:15,,,Makawao
841,23.06,4/25/2015,23:30,,,Makawao
848,23.06,4/25/2015,23:45,,,Makawao
855,23.12,4/26/2015,0:0,,,Makawao
862,23.18,4/26/2015,0:15,,,Makawao
869,22.93,4/26/2015,0:30,,,Makawao
876,22.87,4/26/2015,0:45,,,Makawao
883,22.68,4/26/2015,1:0,,,Makawao
890,22.68,4/26/2015,1:15,,,Makawao
897,22.56,4/26/2015,1:30,,,Makawao
904,22.56,4/26/2015,1:45,,,Makawao
911,22.50,4/26/2015,2:0,,,Makawao
918,22.43,4/26/2015,2:15,,,Makawao
925,22.62,4/26/2015,2:30,,,Makawao
932,22.62,4/26/2015,2:45,,,Makawao
939,22.37,4/26/2015,3:0,,,Makawao
946,22.43,4/26/2015,3:15,,,Makawao
953,22.25,4/26/2015,3:30,,,Makawao
960,22.43,4/26/2015,3:45,,,Makawao
967,22.43,4/26/2015,4:0,,,Makawao
974,22.50,4/26/2015,4:15,,,Makawao
981,22.68,4/26/2015,4:30,,,Makawao
988,22.75,4/26/2015,4:45,,,Makawao
995,22.81,4/26/2015,5:0,,,Makawao
1002,22.81,4/26/2015,5:15,,,Makawao
1009,23.00,4/26/2015,5:30,,,Makawao